
2025/01/12 (00:22:37) | ===> btop++ v.1.4.0
2025/01/12 (00:22:37) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2025/01/12 (00:22:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (15:23:41) | ===> btop++ v.1.4.0
2025/01/13 (15:23:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (18:14:15) | ===> btop++ v.1.4.0
2025/01/16 (18:14:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (05:11:26) | ===> btop++ v.1.4.0
2025/01/19 (05:11:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (05:20:48) | ===> btop++ v.1.4.0
2025/01/19 (05:20:48) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/19 (05:21:35) | INFO: Logger set to INFO

2025/01/19 (05:23:19) | ===> btop++ v.1.4.0
2025/01/19 (05:23:19) | INFO: Logger set to DEBUG
2025/01/19 (05:23:19) | DEBUG: Using locale en_US.UTF-8
2025/01/19 (05:23:19) | INFO: Running on /dev/pts/0
2025/01/19 (05:23:19) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/19 (05:23:19) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/19 (05:23:19) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/19 (05:23:19) | DEBUG: Shared::init() : Initialized.
2025/01/19 (05:23:26) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2025/01/19 (05:23:26) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_light.theme
2025/01/19 (05:23:26) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2025/01/19 (05:23:26) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-hard.theme
2025/01/19 (05:23:26) | DEBUG: Loading theme file: /usr/share/btop/themes/horizon.theme
2025/01/19 (05:23:27) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2025/01/19 (05:23:27) | DEBUG: Loading theme file: /usr/share/btop/themes/phoenix-night.theme
2025/01/19 (05:23:27) | DEBUG: Loading theme file: /usr/share/btop/themes/adwaita.theme
2025/01/19 (05:23:27) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2025/01/19 (05:23:27) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2025/01/19 (05:23:28) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_light.theme
2025/01/19 (05:23:28) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2025/01/19 (05:23:28) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2025/01/19 (05:23:28) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2025/01/19 (05:23:29) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_light.theme
2025/01/19 (05:23:29) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2025/01/19 (05:23:32) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2025/01/19 (05:23:32) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2025/01/19 (05:23:33) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2025/01/19 (05:23:33) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2025/01/19 (05:23:33) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2025/01/19 (05:23:33) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2025/01/19 (05:23:34) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2025/01/19 (05:23:34) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2025/01/19 (05:23:34) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2025/01/19 (05:23:34) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2025/01/19 (05:23:35) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2025/01/19 (05:23:54) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2025/01/19 (05:23:54) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2025/01/19 (05:23:55) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2025/01/19 (05:23:55) | DEBUG: Loading theme file: /usr/share/btop/themes/monokai.theme
2025/01/19 (05:23:55) | DEBUG: Loading theme file: /usr/share/btop/themes/elementarish.theme
